t,x,y,heading,turret_yaw,pitch,target_x,target_y,target_z
5.3600,5.0000,-6.0800,3.1416,2.1303,0.2599,0.0000,0.0000,1.8300
5.3800,5.0000,-6.1400,3.1416,2.1269,0.2585,0.0000,0.0000,1.8300
5.4000,5.0000,-6.2000,3.1416,2.1235,0.2571,0.0000,0.0000,1.8300
5.4200,5.0000,-6.2600,3.1416,2.1202,0.2557,0.0000,0.0000,1.8300
5.4400,5.0000,-6.3200,3.1416,2.1169,0.2544,0.0000,0.0000,1.8300
5.4600,5.0000,-6.3800,3.1416,2.1136,0.2530,0.0000,0.0000,1.8300
5.4800,5.0000,-6.4400,3.1416,2.1104,0.2517,0.0000,0.0000,1.8300
5.5000,5.0000,-6.5000,3.1416,2.1072,0.2503,0.0000,0.0000,1.8300
5.5200,5.0000,-6.5600,3.1416,2.1040,0.2490,0.0000,0.0000,1.8300
5.5400,5.0000,-6.6200,3.1416,2.1009,0.2477,0.0000,0.0000,1.8300
5.5600,5.0000,-6.6800,3.1416,2.0979,0.2463,0.0000,0.0000,1.8300
5.5800,5.0000,-6.7400,3.1416,2.0948,0.2450,0.0000,0.0000,1.8300
5.6000,5.0000,-6.8000,3.1416,2.0918,0.2437,0.0000,0.0000,1.8300
5.6200,5.0000,-6.8600,3.1416,2.0888,0.2425,0.0000,0.0000,1.8300
5.6400,5.0000,-6.9200,3.1416,2.0859,0.2412,0.0000,0.0000,1.8300
5.6600,5.0000,-6.9800,3.1416,2.0829,0.2399,0.0000,0.0000,1.8300
5.6800,5.0000,-7.0400,3.1416,2.0801,0.2387,0.0000,0.0000,1.8300
5.7000,5.0000,-7.1000,3.1416,2.0772,0.2374,0.0000,0.0000,1.8300
5.7200,5.0000,-7.1600,3.1416,2.0744,0.2362,0.0000,0.0000,1.8300
5.7400,5.0000,-7.2200,3.1416,2.0716,0.2350,0.0000,0.0000,1.8300
5.7600,5.0000,-7.2800,3.1416,2.0688,0.2337,0.0000,0.0000,1.8300
5.7800,5.0000,-7.3400,3.1416,2.0661,0.2325,0.0000,0.0000,1.8300
5.8000,5.0000,-7.4000,3.1416,2.0631,0.2322,0.0000,0.0000,1.8300
5.8200,5.0000,-7.4600,3.1416,2.0600,0.2322,0.0000,0.0000,1.8300
5.8400,5.0000,-7.5200,3.1416,2.0569,0.2323,0.0000,0.0000,1.8300
5.8600,5.0000,-7.5800,3.1416,2.0539,0.2323,0.0000,0.0000,1.8300
5.8800,5.0000,-7.6400,3.1416,2.0509,0.2323,0.0000,0.0000,1.8300
5.9000,5.0000,-7.7000,3.1416,2.0479,0.2324,0.0000,0.0000,1.8300
5.9200,5.0000,-7.7600,3.1416,2.0450,0.2324,0.0000,0.0000,1.8300
5.9400,5.0000,-7.8200,3.1416,2.0421,0.2325,0.0000,0.0000,1.8300
5.9600,5.0000,-7.8800,3.1416,2.0393,0.2326,0.0000,0.0000,1.8300
5.9800,5.0000,-7.9400,3.1416,2.0365,0.2326,0.0000,0.0000,1.8300
