distance_m,v_radial_mps,delta_pitch_rad,delta_rpm,delta_vel_mps,tof_s
6.25000000,0.50000000,0.00433044,-0.11444092,-0.00036528,0.61494886
6.25000000,1.00000000,0.00973511,-0.17166138,-0.00054792,0.64651811
6.25000000,1.50000000,0.01614685,-0.07629395,-0.00024352,0.67881547
6.25000000,2.00000000,0.02356567,-0.05722046,-0.00018264,0.71195503
6.25000000,2.50000000,0.03199158,-0.08010864,-0.00025570,0.74602211
6.25000000,3.00000000,0.04139099,-0.06103516,-0.00019482,0.78108143
6.50000000,-3.00000000,0.05122681,-487.47253418,-1.55594317,0.50061604
6.50000000,-2.50000000,0.02467346,-290.52352905,-0.92730989,0.50001363
6.50000000,-2.00000000,0.00060425,-89.33258057,-0.28513692,0.49942140
6.50000000,-1.50000000,-0.00899658,0.19073486,0.00060880,0.51614966
6.50000000,-1.00000000,-0.00735168,0.10299683,0.00032875,0.54691728
6.50000000,-0.50000000,-0.00433044,0.15640259,0.00049921,0.57832664
6.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.61048498
6.50000000,0.50000000,0.00550537,0.00381470,0.00001218,0.64337739
6.50000000,1.00000000,0.01211853,0.15640259,0.00049921,0.67706157
6.50000000,1.50000000,0.01983948,0.16403198,0.00052357,0.71167292
6.50000000,2.00000000,0.02866821,0.10299683,0.00032875,0.74730472
6.50000000,2.50000000,0.03853760,0.14495850,0.00046269,0.78400273
6.50000000,3.00000000,0.04954834,0.09918213,0.00031658,0.82197593
6.75000000,-3.00000000,0.03175659,-378.81851196,-1.20913495,0.50027561
6.75000000,-2.50000000,0.00557251,-170.60470581,-0.54454602,0.49965166
6.75000000,-2.00000000,-0.01359558,-0.20217896,-0.00064533,0.50535982
6.75000000,-1.50000000,-0.01242065,-0.08392334,-0.00026787,0.53722493
6.75000000,-1.00000000,-0.00966797,-0.06484985,-0.00020699,0.56981759
6.75000000,-0.50000000,-0.00547180,-0.17929077,-0.00057227,0.60319476
6.75000000,0.00000000,0.00000000,0.00000000,0.00000000,0.63733035
6.75000000,0.50000000,0.00674744,-0.08010864,-0.00025570,0.67240062
6.75000000,1.00000000,0.01470337,-0.10681152,-0.00034093,0.70844063
6.75000000,1.50000000,0.02380066,-0.01907349,-0.00006088,0.74551806
6.75000000,2.00000000,0.03410645,-0.11825562,-0.00037746,0.78383929
6.75000000,2.50000000,0.04558716,-0.03051758,-0.00009741,0.82346329
6.75000000,3.00000000,0.05834351,-0.02288818,-0.00007306,0.86465058
7.00000000,-3.00000000,0.01245422,-269.78302002,-0.86110913,0.49995795
7.00000000,-2.50000000,-0.01339417,-49.96490479,-0.15948089,0.49930266
7.00000000,-2.00000000,-0.01826172,-0.04577637,-0.00014611,0.52479816
7.00000000,-1.50000000,-0.01597900,0.00000000,0.00000000,0.55851180
7.00000000,-1.00000000,-0.01208496,-0.03814697,-0.00012176,0.59304796
7.00000000,-0.50000000,-0.00674744,0.15640259,0.00049921,0.62841124
7.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.66478173
7.00000000,0.50000000,0.00802307,0.15640259,0.00049921,0.70212524
7.00000000,1.00000000,0.01735535,0.12588501,0.00040181,0.74065637
7.00000000,1.50000000,0.02796326,0.09918213,0.00031658,0.78046955
7.00000000,2.00000000,0.03988037,0.04959106,0.00015829,0.82174263
7.00000000,2.50000000,0.05314026,0.11062622,0.00035310,0.86464815
7.00000000,3.00000000,0.06791077,0.06866455,0.00021917,0.90954079
7.25000000,-3.00000000,-0.00671387,-160.67504883,-0.51285196,0.49961976
7.25000000,-2.50000000,-0.02463989,-0.24795532,-0.00079144,0.50960199
7.25000000,-2.00000000,-0.02306213,-0.08392334,-0.00026787,0.54436309
7.25000000,-1.50000000,-0.01963806,-0.08010864,-0.00025570,0.58000933
7.25000000,-1.00000000,-0.01460266,-0.00381470,-0.00001218,0.61654934
7.25000000,-0.50000000,-0.00798950,-0.20599365,-0.00065750,0.65414897
7.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.69275422
7.25000000,0.50000000,0.00943298,-0.10681152,-0.00034093,0.73264108
7.25000000,1.00000000,0.02024231,-0.15640259,-0.00049921,0.77387633
7.25000000,1.50000000,0.03242798,-0.04577637,-0.00014611,0.81660973
7.25000000,2.00000000,0.04612427,-0.04959106,-0.00015829,0.86116236
7.25000000,2.50000000,0.06139832,-0.01907349,-0.00006088,0.90778601
7.25000000,3.00000000,0.07845154,-0.02288818,-0.00007306,0.95691659
7.50000000,-3.00000000,-0.02581482,-51.50222778,-0.16438780,0.49930046
7.50000000,-2.50000000,-0.03074951,0.00762939,0.00002435,0.52739173
7.50000000,-2.00000000,-0.02803040,-0.02670288,-0.00008523,0.56410100
7.50000000,-1.50000000,-0.02349854,0.14877319,0.00047486,0.60172748
7.50000000,-1.00000000,-0.01722107,-0.03814697,-0.00012176,0.64046572
7.50000000,-0.50000000,-0.00939941,0.12588501,0.00040181,0.68027974
7.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.72143245
7.50000000,0.50000000,0.01087646,0.03051758,0.00009741,0.76397690
7.50000000,1.00000000,0.02326355,0.03433228,0.00010958,0.80814369
7.50000000,1.50000000,0.03722839,0.13732910,0.00043834,0.85416486
7.50000000,2.00000000,0.05290527,0.16021729,0.00051139,0.90240971
7.50000000,2.50000000,0.07049561,0.11825562,0.00037746,0.95332981
7.50000000,3.00000000,0.09026794,0.12969971,0.00041398,1.00750394
7.75000000,-3.00000000,-0.03870544,-0.20599365,-0.00065750,0.50758816
7.75000000,-2.50000000,-0.03702698,-0.04577637,-0.00014611,0.54524740
7.75000000,-2.00000000,-0.03320007,-0.12969971,-0.00041398,0.58394925
7.75000000,-1.50000000,-0.02745972,-0.16403198,-0.00052357,0.62373329
7.75000000,-1.00000000,-0.01997375,-0.04959106,-0.00015829,0.66467755
7.75000000,-0.50000000,-0.01077576,-0.14495850,-0.00046269,0.70699034
7.75000000,0.00000000,0.00000000,0.00000000,0.00000000,0.75072169
7.75000000,0.50000000,0.01245422,-0.03814697,-0.00012176,0.79619239
7.75000000,1.00000000,0.02658691,-0.03433228,-0.00010958,0.84360143
7.75000000,1.50000000,0.04253235,-0.04959106,-0.00015829,0.89331599
7.75000000,2.00000000,0.06049194,-0.08392334,-0.00026787,0.94580988
7.75000000,2.50000000,0.08076782,-0.06866455,-0.00021917,1.00172400
7.75000000,3.00000000,0.10386353,-0.01144409,-0.00003653,1.06204534
8.00000000,-3.00000000,-0.04639282,-0.00381470,-0.00001218,0.52348686
8.00000000,-2.50000000,-0.04360657,-0.02670288,-0.00008523,0.56314426
8.00000000,-2.00000000,-0.03863831,-0.05722046,-0.00018264,0.60392892
8.00000000,-1.50000000,-0.03168945,-0.10681152,-0.00034093,0.64594605
8.00000000,-1.00000000,-0.02292786,0.08773804,0.00028005,0.68927060
8.00000000,-0.50000000,-0.01235352,0.08392334,0.00026787,0.73416574
8.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.78082134
8.00000000,0.50000000,0.01413269,0.02670288,0.00008523,0.82945462
8.00000000,1.00000000,0.03017883,0.02288818,0.00007306,0.88045968
8.00000000,1.50000000,0.04833984,0.03814697,0.00012176,0.93431890
8.00000000,2.00000000,0.06891785,0.06484985,0.00020699,0.99170738
8.00000000,2.50000000,0.09248352,0.02288818,0.00007306,1.05371164
8.00000000,3.00000000,0.11984253,0.10299683,0.00032875,1.12189151
8.25000000,-3.00000000,-0.05438232,-0.02288818,-0.00007306,0.53933374
8.25000000,-2.50000000,-0.05048828,-0.12969971,-0.00041398,0.58105687
8.25000000,-2.00000000,-0.04437866,-0.04959106,-0.00015829,0.62400361
8.25000000,-1.50000000,-0.03615417,-0.14877319,-0.00047486,0.66839076
8.25000000,-1.00000000,-0.02601624,-0.09155273,-0.00029222,0.71429716
8.25000000,-0.50000000,-0.01396484,-0.07629395,-0.00024352,0.76198439
8.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.81169987
8.25000000,0.50000000,0.01597900,0.01907349,0.00006088,0.86382796
8.25000000,1.00000000,0.03417358,0.02670288,0.00008523,0.91886536
8.25000000,1.50000000,0.05488586,0.00381470,0.00001218,0.97750510
8.25000000,2.00000000,0.07861938,0.00381470,0.00001218,1.04076474
